aangifte doen ; to file a report
de aansprakelijkheid ; the liability
het aantal ; the number, amount
aardig ; nice
afblijven ; to leave alone
de afdeling ; the department
afsluiten ; to close (e.g. the door), BUT ALSO: to conclude an agreement
de afspraak ; the appointment, but also the agreement
afstand ; distance
het afval ; the waste
de aandacht ; the attention
aanmelden ; to register (melden aan iets)
aanraken ; to touch
aanvullende ; additional
het bedrag ; the amount
het bedrijf ; the company (business)
de begrafenis ; the funeral
behalve ; except
bekend ; known, recognized
de bekenden ; знакомый
beleefd ; polite
bereiden ; to prepare
het beroep ; the profession
het bbl (Beroepsbegeleidende Leerweg) ; the Work-based professional learning (see also bol)
het bol (Beroepsopleidende Leerweg) ; the school-based professional learning (see also bbl)
beschermen ; to protect
de beschuit ; the biscuit
beslissen ; to decide
besluiten ; to decide
het bestuur ; the governance, the board
betekenen ; to mean
de beurt ; the turn (kinda "my turn in a queue")
de bevalling ; the birth (роды)
bewegen ; to move
bezetten ; to occupy
het bezoek ; the visit
bevrijden ; to liberate
bijvoorbeeld ; for example
bijzonder ; special, particular
blijven ; to stay (e.g. at home, or to stay healthy)
de boete ; the fine (штраф)
de bruid ; the bride
de bruidegom ; the groom
bouwen ; to build
de buitenschoolse opvang ; the after-school care
de burgerzaken ; the civil affairs
buurlanden ; neighboring countries
de cao (collectieve arbeidsovereenkomst) ; the collective labor agreement (тот, который между компаниями)
het consultatiebureau ; the child health clinic
het deel ; the part
delen ; to share (also, to divide)
dicht ; closed (adjective)
doorgeven ; to pass on (передать, например документы в хементу)
de duin ; the dune
dus ; so, therefore
echt ; real, really
eerlijk ; honestlys
het eens ; agree, used this way: zijn met iemand het eens. E.g. Ik ben het met je eens
eerder ; earlier
eigen ; own 
je eigen ; your own
enzovoort ; end so forth (и.т.д)
ernstig ; serious
de ervaring ; the experience
de gastouder ; the childminder (няня)
de geallieerden ; the allies
gebeuren ; to happen
het gebied ; region, area
gebruiken ; to use
het gedicht ; the poem
het gedrag ; the behaviour
het geheim ; the secret
gelijk ; equal
gelijkheid ; equality 
het geloof ; the belief
geloven ; to believe
de geest ; the spirit
geestelijke gezondheidszorg ; mental health care
het geslacht ; the gender
het gevaar ; the danger
gevaarlijk ; dangerous
gewoon ; ordinary, normal 
de gewoonte ; the habit
gft-bak ; organic waste bin
de godsdienst ; the religion
gooien ; to throw
de gracht ; the channel
De Grondwet ; the constitution
het grofvuil ; the bulky waste
halen ; to fetch
